127.0.0.1 - - [09/Jun/2017:10:15:26 +0200] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:15:26 +0200] "GET /crm_app/ HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:15:26 +0200] "GET /crm_app/style/styles.css HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:16:09 +0200] "GET /crm_app/crm-app?service=CreateCustomerService&view=CreateCustomerView&firstnameText=Philipp&nameText=M%FCller HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:16:12 +0200] "GET /crm_app/index.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:16:20 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=1 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:16:22 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:19:50 +0200] "GET /crm_app/crm-app?service=CreateCustomerService&view=CreateCustomerView&firstnameText=sdafsdf&nameText=dfsdf HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:19:53 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:19:57 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=1 HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:20:00 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:20:02 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=2 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:20:04 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:08 +0200] "GET /crm_app/index.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:08 +0200] "GET /crm_app/style/styles.css HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:08 +0200] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:12 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=2 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:14 +0200] "GET /crm_app/index.html? HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [09/Jun/2017:10:21:16 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=1 HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/Jun/2017:13:49:36 +0200] "GET /crm_app/crm-app?service=CreateCustomerService&view=CreateCustomerView&firstnameText=&nameText= HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/Jun/2017:13:49:39 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:13:49:40 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId= HTTP/1.1" 500 2043
0:0:0:0:0:0:0:1 - - [09/Jun/2017:13:49:47 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=id HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:32 +0200] "GET /crm_app/crm-app?service=CreateCustomerService&view=CreateCustomerView&firstnameText=&nameText= HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:33 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:38 +0200] "GET /crm_app/crm-app?service=CreateCustomerService&view=CreateCustomerView&firstnameText=tdz&nameText=j HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:42 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:45 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=1 HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:46 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:48 +0200] "GET /crm_app/crm-app?service=ReadCustomerService&view=ReadCustomerView&customerId=2 HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:05:49 +0200] "GET /crm_app/index.html HTTP/1.1" 304 -
